instagram,sse_idxmin,sse_min_facebook,sse_min,sse_idxmax,sse_max_facebook,sse_max,sse_mean,sse_std,ssmi_idxmin,ssmi_min_facebook,ssmi_min,ssmi_idxmax,ssmi_max_facebook,ssmi_max,ssmi_mean,ssmi_std
./instagram/instagram_images/001.jpg,1579, ./facebook_images/1760_62317591679_10153861363381680.jpg,3107.298210,488, ./facebook_images/0601_219367258105115_1286875358020961.jpg,31702.225840,8529.336785,4650.693628,1190, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.007127,1190, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.170207,0.105942,0.027701
./instagram/instagram_images/002.jpg,3685, ./facebook_images/1822_62317591679_10153862032416680.jpg,2533.618466,2532, ./facebook_images/0601_219367258105115_1286875358020961.jpg,49103.041650,12070.778560,8303.023348,2643, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.029217,2643, ./facebook_images/0712_219367258105115_1291209107587586.jpg,0.586896,0.223032,0.090393
./instagram/instagram_images/003.jpg,5699, ./facebook_images/1792_62317591679_10153861538176680.jpg,1680.713294,4576, ./facebook_images/0601_219367258105115_1286875358020961.jpg,37531.226560,8536.635505,6037.054098,5278, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.018046,5278, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.572553,0.305979,0.093011
./instagram/instagram_images/004.jpg,7707, ./facebook_images/1756_62317591679_10153861259401680.jpg,2656.930444,6620, ./facebook_images/0601_219367258105115_1286875358020961.jpg,44951.769540,10691.594486,7274.263826,7690, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.027069,7690, ./facebook_images/1739_62317591679_10153860575936680.jpg,0.320492,0.148325,0.054234
./instagram/instagram_images/005.jpg,8347, ./facebook_images/0179_184096565021911_1041861279245431.jpg,879.741913,8664, ./facebook_images/0601_219367258105115_1286875358020961.jpg,41968.623790,8819.291802,7067.819591,9366, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.017306,9366, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.514129,0.247276,0.085026
./instagram/instagram_images/006.jpg,11459, ./facebook_images/1414_62317591679_10153842435796680.jpg,3331.565695,10708, ./facebook_images/0601_219367258105115_1286875358020961.jpg,40253.914150,10412.533910,6360.517819,11753, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.030335,11753, ./facebook_images/1714_62317591679_10153859655731680.jpg,0.480985,0.224835,0.078291
./instagram/instagram_images/007.jpg,13454, ./facebook_images/1365_62317591679_10153840889606680.jpg,2423.197081,12752, ./facebook_images/0601_219367258105115_1286875358020961.jpg,42303.698980,10136.458630,6950.345102,14058, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.019681,14058, ./facebook_images/1981_389658314427637_1535207366539387.jpg,0.492595,0.220153,0.080667
./instagram/instagram_images/008.jpg,15883, ./facebook_images/1756_62317591679_10153861259401680.jpg,3802.074760,14796, ./facebook_images/0601_219367258105115_1286875358020961.jpg,43101.440540,11227.360690,6713.114357,15773, ./facebook_images/1871_62317591679_10153863757616680.jpg,0.042277,15773, ./facebook_images/1646_62317591679_10153851444211680.jpg,0.291451,0.170857,0.044011
./instagram/instagram_images/009.jpg,16495, ./facebook_images/0151_184096565021911_1041476135950612.jpg,4098.617721,16840, ./facebook_images/0601_219367258105115_1286875358020961.jpg,32684.383400,9631.852494,4613.439632,17542, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.013728,17542, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.404225,0.222946,0.061498
./instagram/instagram_images/010.jpg,20247, ./facebook_images/2043_389658314427637_1536462213080569.jpg,6454.987173,18884, ./facebook_images/0601_219367258105115_1286875358020961.jpg,28346.956330,12822.945625,3429.802636,19362, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.021896,19362, ./facebook_images/1130_440106476051475_1252748414787273.jpg,0.344859,0.220506,0.053222
./instagram/instagram_images/011.jpg,20986, ./facebook_images/0659_219367258105115_1290363481005482.jpg,2384.064367,20928, ./facebook_images/0601_219367258105115_1286875358020961.jpg,32782.982100,7982.778432,4992.805636,21630, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.027441,21630, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.589824,0.313833,0.093768
./instagram/instagram_images/012.jpg,24311, ./facebook_images/2017_389658314427637_1536072073119583.jpg,3706.538374,22972, ./facebook_images/0601_219367258105115_1286875358020961.jpg,32386.268010,9398.744280,4746.295587,23674, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.011839,23674, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.339605,0.191095,0.053155
./instagram/instagram_images/013.jpg,26084, ./facebook_images/1737_62317591679_10153860538071680.jpg,4376.888482,24853, ./facebook_images/0436_219367258105115_1283530558355441.jpg,23844.790870,11967.016965,3801.158575,25212, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.009992,25212, ./facebook_images/0803_135665053303678_551828781687301.jpg,0.368336,0.199142,0.065834
./instagram/instagram_images/014.jpg,28424, ./facebook_images/2044_389658314427637_1536475899745867.jpg,3165.385736,27060, ./facebook_images/0601_219367258105115_1286875358020961.jpg,32234.048080,8718.559111,4702.428420,27762, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.015816,27762, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.549067,0.323716,0.087977
./instagram/instagram_images/015.jpg,30468, ./facebook_images/2044_389658314427637_1536475899745867.jpg,6371.486283,28852, ./facebook_images/0341_219367258105115_1281494028559094.jpg,30798.221840,11462.490240,3824.648575,30476, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.019151,30476, ./facebook_images/2052_389658314427637_1537035069689950.jpg,0.409026,0.251280,0.062025
./instagram/instagram_images/016.jpg,32247, ./facebook_images/1768_62317591679_10153861397186680.jpg,4333.657152,31148, ./facebook_images/0601_219367258105115_1286875358020961.jpg,32744.297030,10334.491886,4510.615098,31850, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.012672,31850, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.498364,0.276413,0.078622
./instagram/instagram_images/017.jpg,34555, ./facebook_images/2043_389658314427637_1536462213080569.jpg,4169.023787,33833, ./facebook_images/1302_346937065399354_1253027368123648.jpg,21390.504070,10827.914075,2927.738504,33396, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.008336,33396, ./facebook_images/0815_135665053303678_551845471685632.jpg,0.364507,0.197114,0.061441
./instagram/instagram_images/018.jpg,36304, ./facebook_images/1737_62317591679_10153860538071680.jpg,838.102041,36375, ./facebook_images/1808_62317591679_10153861784371680.jpg,19353.208220,8599.873882,3578.045349,35254, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.012442,35254, ./facebook_images/0619_219367258105115_1289529341088896.jpg,0.734379,0.340230,0.132421
./instagram/instagram_images/019.jpg,38348, ./facebook_images/1737_62317591679_10153860538071680.jpg,1478.536996,38419, ./facebook_images/1808_62317591679_10153861784371680.jpg,17573.793970,8192.357610,3145.610976,37298, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.012538,37298, ./facebook_images/0619_219367258105115_1289529341088896.jpg,0.575418,0.308620,0.103136
./instagram/instagram_images/020.jpg,40026, ./facebook_images/1365_62317591679_10153840889606680.jpg,1689.013571,39324, ./facebook_images/0601_219367258105115_1286875358020961.jpg,40630.990290,8985.662448,6726.938910,40026, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.021894,40026, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.525737,0.266743,0.086051
./instagram/instagram_images/021.jpg,41735, ./facebook_images/0999_135665053303678_554502974753215.jpg,3085.791951,42900, ./facebook_images/2251_114517875225866_1470917416252565.jpg,30042.783070,8924.508929,4265.584200,42070, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.010952,42070, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.487870,0.271907,0.079524
