instagram_idx,instragram_comment,facebook_json,facebook_message,similarity
0,Catherine Duchess of Cambridge and Prince William Duke of Cambridge visit the Great Bear Rainforest in Bella Bella Canada. PHOTO: Sam Hussein / Getty Images. #Royals #RoyalFamily #PrinceWilliam #DuchessCatherine #Canada,0828_135665053303678_552093584994154.json,Here's a FLASHBACK for CNN  Obama  Sheila Jackson Lee & Hillary. They said it. Enjoy.,0.717124
1,The Presidential Debate ends on a handshake between Hillary Clinton and Donald Trump. #Debates,1797_62317591679_10153861566101680.json,Hillary Clinton and Donald J. Trump shake hands  concluding the first presidential debate.,0.916231
2,Donald Trump speaks during the Presidential Debate. PHOTO: Patrick Semansky / AP Photo #Debates #Debate #trump #presidentialdebate #politics,1754_62317591679_10153861185416680.json,Donald J. Trump arrives at Hofstra University for the 2016 presidential debate.,0.806405
3,Former U.S. President Bill Clinton talks with his daughter Chelsea prior to the first presidential debate. PHOTO: Carlos Barria / Reuters #Debates #Debate #clinton #politics #president #presidentialdebate,1756_62317591679_10153861259401680.json,Hillary Clinton and President Bill Clinton arrive for the first presidential debate.,0.888978
4,Republican nominee Donald Trump looks on during the #PresidentialDebate. PHOTO: Jewel Samad / AFP / Getty Images #Debates #Debate #trump #clinton #republican #politics,1498_62317591679_10153845881311680.json,Democrats advice to Hillary Clinton for her first presidential debate: Let Donald J. Trump be Trump.,0.835208
5,Hillary Clinton speaks during the #PresidentialDebate. PHOTO: Drew Angerer / Getty Images #Debates #Debate #clinton #trump,0172_184096565021911_1041579029273656.json,Here's a quick look at some of the highlights from the first presidential debate between Hillary Clinton and Donald J. Trump. http://abcn.ws/2dnOASw #Debates,0.847973
6,Hillary Clinton shakes hands with Donald Trump before the #PresidentialDebate. PHOTO: Joe Raedle / Getty Images #Debates #Debate #clinton #trump,1804_62317591679_10153861700111680.json,Here are the top moments from the first debate between Hillary Clinton and Donald J. Trump.,0.879219
7,Melania Trump shakes hands with Bill Clinton before the Presidential Debate. PHOTO: Drew Angerer / Getty Images #trump #clinton #Debates #Debate #presidentialdebate,1797_62317591679_10153861566101680.json,Hillary Clinton and Donald J. Trump shake hands  concluding the first presidential debate.,0.857591
8,Presidential nominees Hillary Clinton and Donald Trump shake hands to begin the debate. #Debates #Debate #president #presidentialdebate #clinton #trump,1797_62317591679_10153861566101680.json,Hillary Clinton and Donald J. Trump shake hands  concluding the first presidential debate.,0.938046
9,Miami Marlins players wearing No. 16 tonight in honor of Jose Fernandez: Teammate Dee Gordon circled the bases slowly after homering in the Marlins’ first at-bat since Fernandez’s death and was crying when he reached home plate. He tapped his chest and waved toward the sky and then sobbed as teammates hugged him in the dugout. CREDIT: AP/Lynne Sladky #JoseFernandez #JDF16 #RIP #marlins,1116_440106476051475_1250009591727822.json,NC Teacher Who Stomped on American Flag in Class Just Got SMACKED by INSTANT Karma! (VIDEO)  HAHAHAHA. That's right  sucka! These colors don't run!  Let's get a 1000 shares for good ol' American Karma! BOOM!,0.653962
10,TONIGHT: Hillary Clinton and Donald Trump take the debate stage. We'll have live comprehensive coverage on ABC TV and across digital. #debates #debate #presidentialdebate #trump #clinton #politics #president,0126_184096565021911_1041047845993441.json,TONIGHT: In the most anticipated political event of the season  Hillary Clinton and Donald J. Trump face off in the first presidential debate of 2016. Watch it LIVE on ABC News or stream it with ABC on Facebook. #debates,0.887768
11,Surf dog Skyler who is a Red Australian Shepherd surfs a large wave during the 8th annual Surf City Surf Dog event at Huntington Beach California Sept. 25 2016. CREDIT: Mark Ralston/AFP/Getty Images SEE MORE at ABCNews.com/photos #abcnews #photos #dog #California #SurfIng #surf #waves #besch,0872_135665053303678_552567568280089.json,FINAL HOUR FACEBOOK LIVE:   A gun club in California  despite Gunmaggedon   The Real Side Radio Show with Joe Messina,0.588879
